timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 30, 2026 @ 22:16:01.999","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:15:57.991","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:15:57.991","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:15:55.988","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:15:51.981","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:15:51.981","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:15:51.981","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:15:51.981","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:15:51.981","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:15:51.981","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:14:43.880","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:14:43.880","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:14:43.879","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:14:43.879","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:14:43.877","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:14:43.877","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:14:19.839","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:14:19.839","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:14:19.839","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:10:01.425","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:09:59.314","srv-prod","New dpkg (Debian Package) installed.","7","2902"
"Jun 30, 2026 @ 22:09:58.024","srv-prod","New dpkg (Debian Package) installed.","7","2902"
"Jun 30, 2026 @ 22:09:58.024","srv-prod","Dpkg (Debian Package) half configured.","7","2904"
"Jun 30, 2026 @ 22:09:58.024","srv-prod","Dpkg (Debian Package) half configured.","7","2904"
"Jun 30, 2026 @ 22:09:58.023","srv-prod","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 30, 2026 @ 22:09:53.412","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:09:53.412","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:09:15.347","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:09:15.347","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:09:15.347","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:09:09.334","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:09:09.334","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:09:09.330","srv-prod","First time user executed sudo.","4","5403"
"Jun 30, 2026 @ 21:55:37.975","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 21:55:35.876","srv-prod","Dpkg (Debian Package) half configured.","7","2904"
"Jun 30, 2026 @ 21:55:35.876","srv-prod","New dpkg (Debian Package) installed.","7","2902"
