timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 30, 2026 @ 22:53:29.171","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:29.171","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:53:19.159","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:53:18.129","srv-prod","Wazuh server started.","3","502"
"Jun 30, 2026 @ 22:53:15.057","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:53:15.057","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:53:13.016","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:53:08.108","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 22:53:08.014","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 22:52:40.250","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:52:40.250","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:51:24.150","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:51:20.147","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:51:20.147","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:51:08.128","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:51:08.128","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:51:08.123","srv-prod","Successful sudo to ROOT executed.","3","5402"
